Param name,Param value,Param stdv,Param p-value
CA,0.29995036,0.0046136323,0.0
BT,1.0137492,0.0037336312,0.0
BU,0.9859014,0.0031516803,0.0
CD,0.65695715,0.0073817866,0.0
BV,0.79841787,0.0024793644,0.0
CS,0.3085341,0.007416433,0.0
DP,0.4911682,0.005214919,0.0
CH,0.569985,0.0055842362,0.0
CA*CA,-1.0602355,0.059557267,6.824992652428311e-71
CA*BT,-0.19896792,0.0144223105,2.699814101131187e-43
CA*BU,-0.008042649,0.013787239,0.5596643672287229
CA*CD,0.2080701,0.042337023,8.895789279744156e-07
CA*BV,0.0022167445,0.012032798,0.8538367898041661
CA*CS,1.7273241,0.822144,0.035641001912280285
CA*DP,0.40896645,0.072553106,1.73251288322342e-08
CA*CH,-0.11298504,0.09710951,0.24463454873091073
BT*CA,0.0327191,0.13316238,0.8059080453805091
BT*BT,-1.1985415,0.0054881508,0.0
BT*BU,-0.6227958,0.013784078,0.0
BT*CD,0.44265923,0.1901282,0.019900721555413378
BT*BV,-0.00882302,0.042523615,0.8356309623158655
BT*CS,0.54468155,0.86697245,0.5298355718471883
BT*DP,1.3419652,0.19149849,2.422560729935647e-12
BT*CH,3.9714475,0.56094486,1.442324371867613e-12
BU*CA,-0.27623808,0.05713345,1.3317082570849895e-06
BU*BT,-0.97593796,0.0057019237,0.0
BU*BU,-1.1724586,0.0073712803,0.0
BU*CD,0.0013453341,0.024620123,0.9564223395844659
BU*BV,-0.9162871,0.015155395,0.0
BU*CS,0.07400426,0.52396,0.8876801113567653
BU*DP,-0.012578116,0.09346901,0.8929519310131312
BU*CH,2.061707,0.22881134,2.050996160526956e-19
CD*CA,-0.25206223,0.05992363,2.594807610107315e-05
CD*BT,-0.9248147,0.09237784,1.3606679427542397e-23
CD*BU,-0.56229997,0.02101727,1.1037725854962083e-157
CD*CD,-0.7637168,0.021380417,1.907518927643971e-279
CD*BV,-0.6605113,0.034175754,3.190283513198841e-83
CD*CS,-0.2631862,0.34650213,0.44752277537267915
CD*DP,-0.28879136,0.040690243,1.2720669415782865e-12
CD*CH,0.011876074,0.1484375,0.9362315035308855
BV*CA,-0.4032074,0.040800687,4.964558595189247e-23
BV*BT,-0.9165989,0.0133833345,0.0
BV*BU,-0.68206114,0.00536348,0.0
BV*CD,0.01920511,0.02930236,0.5122027075119993
BV*BV,-0.8566957,0.00756435,0.0
BV*CS,-1.106131,0.67901945,0.10331043057696715
BV*DP,0.008034047,0.054829873,0.883505524231921
BV*CH,-0.44529495,0.05539558,9.097754332558903e-16
CS*CA,-0.8012318,0.3370076,0.01743096988477655
CS*BT,-1.3526384,0.39486262,0.0006134601812979707
CS*BU,-1.4914653,0.39960802,0.00018972367376491293
CS*CD,-0.31278566,0.07197403,1.3876087617442028e-05
CS*BV,-1.1702427,0.3483042,0.000779906760773287
CS*CS,-0.32298416,0.023926692,1.5871719608723892e-41
CS*DP,-0.04911587,0.09437996,0.602780831311908
CS*CH,-0.42875442,0.6523802,0.511042337593187
DP*CA,-0.07157012,0.050989226,0.16042837664618392
DP*BT,-0.59932476,0.03310897,3.096368042375489e-73
DP*BU,-0.52998966,0.013620733,0.0
DP*CD,-0.11080373,0.029244374,0.00015132167337596113
DP*BV,-0.764669,0.059382696,6.06737921794473e-38
DP*CS,-0.0018753004,0.19770618,0.9924319467305065
DP*DP,-0.630181,0.03178325,1.7254403083711878e-87
DP*CH,-0.003694091,0.091915146,0.9679414658278578
CH*CA,-0.09126537,0.16208857,0.5733949306894018
CH*BT,-0.9911138,0.12689166,5.686738990405337e-15
CH*BU,-0.60007733,0.01334657,0.0
CH*CD,-2.0207725,0.2899678,3.1930479594574185e-12
CH*BV,-0.24408524,0.030462781,1.123337688095947e-15
CH*CS,0.6204692,0.78524274,0.4294329754340087
CH*DP,-1.1865125,0.19305018,7.939355304849001e-10
CH*CH,-0.6656338,0.034979586,9.771983740729502e-81
CA*BT*BU,-0.41416284,0.063658684,7.718261162128155e-11
CA*BT*CD,0.1633278,0.5203092,0.7535929885032522
CA*BT*BV,-1.546457,0.2508341,7.036813041882509e-10
CA*BT*CS,-0.16913037,1.0210321,0.8684351679491826
CA*BT*DP,0.19910425,0.31179744,0.5231031999730107
CA*BT*CH,-0.25082183,0.87493217,0.774360606344743
CA*BU*CD,-0.4014172,0.16755031,0.016584088345356875
CA*BU*BV,-0.16309159,0.12377157,0.18761007339275848
CA*BU*CS,-0.15829127,1.083447,0.8838426938018732
CA*BU*DP,-0.2702109,0.23573889,0.25170015314066696
CA*BU*CH,-3.4016175,0.7375256,3.984242795539623e-06
CA*CD*BV,-0.8891289,0.1946514,4.928665000041476e-06
CA*CD*CS,2.512173,2.0118873,0.21178768008177362
CA*CD*DP,-0.13212024,0.25892475,0.6098658247504234
CA*CD*CH,4.9576983,2.5809767,0.054749187838098706
CA*BV*CS,-0.08545724,0.8766113,0.9223405311242818
CA*BV*DP,-0.39964724,0.43157676,0.3544373695571835
CA*BV*CH,-0.054793093,0.08015724,0.49424667895711716
CA*CS*DP,2.233834,2.9960272,0.45590984825472747
CA*CS*CH,-0.0015662672,1.0133003,0.998766703256739
CA*DP*CH,0.16289645,0.58610815,0.7810668556414775
BT*CA*BU,0.011138295,0.3392879,0.9738113934251322
BT*CA*CD,0.011657781,0.9214096,0.9899053413843607
BT*CA*BV,-0.17256224,0.9989362,0.8628510707034974
BT*CA*CS,0.024089921,0.9806711,0.9804021521847771
BT*CA*DP,-0.061190967,0.9198976,0.9469643766296608
BT*CA*CH,0.059861526,1.0227641,0.9533271322823375
BT*BU*CD,0.08925547,0.3619225,0.8052063042405253
BT*BU*BV,-1.0546703,0.3659892,0.003955387701909711
BT*BU*CS,0.061781827,0.9759227,0.9495227875446317
BT*BU*DP,-0.076862425,0.35393035,0.8280772567096228
BT*BU*CH,0.14932418,0.6036877,0.8046347660820183
BT*CD*BV,-0.06935953,0.9205554,0.939939973662569
BT*CD*CS,-0.016713284,1.039031,0.9871662200609781
BT*CD*DP,0.032121,0.95107704,0.9730579367736016
BT*CD*CH,-0.010250936,0.9637867,0.9915137766186226
BT*BV*CS,-0.018656248,0.97224754,0.9846905049781761
BT*BV*DP,0.036433544,0.95688415,0.9696277324444739
BT*BV*CH,0.042238045,0.9608693,0.9649377572414825
BT*CS*DP,0.005609538,0.9867652,0.9954642303579531
BT*CS*CH,0.014238788,1.0314015,0.9889853290110503
BT*DP*CH,-0.060649306,1.0620912,0.9544626150232427
BU*CA*BT,0.86676836,0.33815074,0.010369426921999209
BU*CA*CD,0.039822895,0.33621007,0.9057139077134755
BU*CA*BV,0.112377346,0.19464804,0.5637124095171464
BU*CA*CS,-0.012920336,0.98187643,0.9895010832193001
BU*CA*DP,-0.30779248,0.52655727,0.5588587391076658
BU*CA*CH,-0.05823337,1.0523684,0.9558711514135138
BU*BT*CD,-0.03869891,0.18092865,0.8306324774750842
BU*BT*BV,0.96539384,0.13508143,8.885342130775196e-13
BU*BT*CS,0.002650943,0.92459,0.9977123444184965
BU*BT*DP,0.036232546,0.14621493,0.8042865895140117
BU*BT*CH,-0.58021027,0.688635,0.39947947586379084
BU*CD*BV,-0.008825457,0.10712239,0.934339239751434
BU*CD*CS,0.068408154,0.9706857,0.9438163535366336
BU*CD*DP,-0.008472935,0.5243175,0.987106800072358
BU*CD*CH,-0.02303174,1.1593264,0.9841498823287247
BU*BV*CS,0.0053110314,1.0196744,0.9958441923144935
BU*BV*DP,-0.039363727,0.25318703,0.8764485015610775
BU*BV*CH,0.033881407,0.2546162,0.8941391700243715
BU*CS*DP,0.017121572,0.96960694,0.9859114778835852
BU*CS*CH,0.008063112,0.9603108,0.993300754859924
BU*DP*CH,0.41647607,1.279964,0.7448926578314611
CD*CA*BT,0.00993411,0.3837622,0.9793481811541792
CD*CA*BU,-0.0069450913,0.09931043,0.9442468648905914
CD*CA*BV,-0.01150996,0.0945754,0.9031354950148094
CD*CA*CS,-0.07810846,0.62517035,0.9005714635586829
CD*CA*DP,0.0593776,0.1095933,0.5879566046747883
CD*CA*CH,-0.02017233,0.7991874,0.9798626950034754
CD*BT*BU,-0.062887706,0.19531858,0.747471616867388
CD*BT*BV,-0.11495678,0.49345776,0.8157911123070702
CD*BT*CS,0.0039683245,0.9632957,0.9967131007711443
CD*BT*DP,-0.007850586,0.49558136,0.9873611071847049
CD*BT*CH,-0.00012419565,0.8485551,0.9998832205550505
CD*BU*BV,-0.10611584,0.1277959,0.4063386793310929
CD*BU*CS,0.013848913,0.8720605,0.9873295834165897
CD*BU*DP,0.93867534,0.3011044,0.0018242820010513497
CD*BU*CH,-0.0007234632,0.24679054,0.9976610154657708
CD*BV*CS,0.011801502,0.79344666,0.9881329276720172
CD*BV*DP,-0.3698938,0.54244334,0.4953002099971723
CD*BV*CH,-0.016788056,1.0220718,0.9868949247912309
CD*CS*DP,-0.07997377,0.75493014,0.9156336643040084
CD*CS*CH,-0.0059661637,1.0137186,0.9953041380922834
CD*DP*CH,-0.010972757,0.57972157,0.984898836418562
BV*CA*BT,0.05515378,0.310661,0.8590867031836991
BV*CA*BU,0.018324126,0.075475805,0.8081746984945555
BV*CA*CD,0.15751149,0.4099124,0.7007883809688706
BV*CA*CS,0.015935801,1.0321484,0.9876815922610983
BV*CA*DP,0.27325454,0.8102494,0.7359303619561088
BV*CA*CH,2.9764588,0.5904505,4.6311496734881647e-07
BV*BT*BU,-0.036276057,0.046413478,0.43445876323691013
BV*BT*CD,1.3162414,0.47015885,0.005117112291647336
BV*BT*CS,-0.02200751,0.93989944,0.9813194397108395
BV*BT*DP,-1.054599,0.5392389,0.05049843455462089
BV*BT*CH,0.09466608,1.154387,0.9346423451157755
BV*BU*CD,-0.29413554,0.084598556,0.0005073627095103525
BV*BU*CS,-0.1541421,0.9750917,0.8743940797572198
BV*BU*DP,0.046759803,0.12567136,0.7098332658286319
BV*BU*CH,-0.387636,0.12685259,0.002244616690934847
BV*CD*CS,0.008254329,0.91699064,0.9928179064430173
BV*CD*DP,-1.2181276,0.78180027,0.11920813552199903
BV*CD*CH,-0.018311918,0.92771876,0.984251857091864
BV*CS*DP,0.010786158,1.0005473,0.9913987650947759
BV*CS*CH,-0.061153352,1.0325415,0.9527720633495049
BV*DP*CH,-0.5444642,1.0599954,0.607498340783071
CS*CA*BT,-0.11478473,0.9707701,0.905876783461191
CS*CA*BU,-0.08259099,1.0594497,0.9378626574638459
CS*CA*CD,-0.014741238,0.46448523,0.9746820110192178
CS*CA*BV,-0.035637677,0.58297825,0.9512553818573857
CS*CA*DP,0.021457253,0.39217046,0.9563662371516329
CS*CA*CH,-0.013838927,0.91726345,0.9879626213753653
CS*BT*BU,-0.034839127,0.9050622,0.9692941135781161
CS*BT*CD,-0.0361571,1.0148166,0.9715780264954706
CS*BT*BV,-0.08435995,0.9219834,0.92709662703167
CS*BT*DP,-0.025957145,0.9429563,0.978039079166249
CS*BT*CH,-0.005398723,0.94553703,0.9954443515929812
CS*BU*CD,-0.021093532,0.9148795,0.9816055419673428
CS*BU*BV,-0.02299023,1.0213916,0.9820421473453532
CS*BU*DP,-0.09247876,0.92516965,0.9203771114743673
CS*BU*CH,0.010569259,0.952115,0.9911430080602697
CS*CD*BV,-0.081364274,0.63513196,0.8980650186598569
CS*CD*DP,-0.29715648,0.24474387,0.22468933020585358
CS*CD*CH,0.012957202,0.91235816,0.988668919027373
CS*BV*DP,0.006611593,0.8574931,0.99384807224269
CS*BV*CH,-0.026932066,0.7770469,0.9723512459864168
CS*DP*CH,0.037696924,0.8271771,0.9636506076074371
DP*CA*BT,-0.16132617,0.5453077,0.7673490001253935
DP*CA*BU,0.17603146,0.103893295,0.09019906552795806
DP*CA*CD,-0.022434274,0.08516895,0.7922352942796156
DP*CA*BV,0.046026267,0.5019125,0.9269349805433122
DP*CA*CS,-0.01904688,0.8826437,0.9827835035054352
DP*CA*CH,0.009832767,0.65111876,0.9879513306978746
DP*BT*BU,-0.011243514,0.06809082,0.8688453985399196
DP*BT*CD,0.07366985,0.36510283,0.8400899941952902
DP*BT*BV,0.02657797,0.3036444,0.9302503039376134
DP*BT*CS,0.010632611,1.0198083,0.9916813358780453
DP*BT*CH,-0.10373981,0.919394,0.9101613774466045
DP*BU*CD,0.065567106,0.06998879,0.3488496069153062
DP*BU*BV,0.11534637,0.19402735,0.5521877023702968
DP*BU*CS,-0.038357005,0.9545181,0.9679458910568766
DP*BU*CH,-0.056767184,0.22603011,0.8016990984057394
DP*CD*BV,-0.09369543,0.39458838,0.8123068807424612
DP*CD*CS,-0.02270801,0.47247395,0.9616668868664001
DP*CD*CH,-0.4253735,1.4931198,0.7757291511947331
DP*BV*CS,0.039751865,1.00281,0.9683797583486866
DP*BV*CH,0.4342665,0.6185737,0.4826511973019101
DP*CS*CH,0.003497353,1.0455649,0.997331128047905
CH*CA*BT,0.1147985,0.82521504,0.8893605070349374
CH*CA*BU,0.1874679,0.34355903,0.5852967089370169
CH*CA*CD,0.00675985,0.3048558,0.9823092163268043
CH*CA*BV,-1.6119305,0.28266424,1.179705343382105e-08
CH*CA*CS,-0.013288622,0.9812218,0.9891946328454571
CH*CA*DP,0.00629096,0.33586338,0.9850559285607698
CH*BT*BU,-0.0056781154,0.11547033,0.960780785899128
CH*BT*CD,-0.028351402,0.8838465,0.9744104139494975
CH*BT*BV,-0.17127053,0.6549505,0.7937057998064626
CH*BT*CS,0.014838257,1.0153294,0.9883399465497508
CH*BT*DP,-0.24609263,0.83806986,0.7690313764864262
CH*BU*CD,-0.059722006,0.20402755,0.7697396973841943
CH*BU*BV,-0.45891175,0.07173258,1.5790446535588138e-10
CH*BU*CS,0.11637765,1.1365479,0.9184425742299883
CH*BU*DP,0.14787915,0.22884113,0.518144126512435
CH*CD*BV,-0.02744448,0.6786296,0.9677415177871793
CH*CD*CS,-0.04842327,1.4089398,0.972583233569634
CH*CD*DP,0.07585369,1.093634,0.9447036227530025
CH*BV*CS,0.18466693,1.3975327,0.8948752820412665
CH*BV*DP,-2.6537673,1.0061396,0.008350147402733524
CH*CS*DP,-0.033179246,1.1020495,0.9759818317820135
