Param name,Param value,Param stdv,Param p-value,CD,CA,EL,DP,BU,PV,CDEVO,CD*CD,CD*CA,CD*EL,CD*DP,CD*BU,CD*PV,CD*CDEVO,CA*CD,CA*CA,CA*EL,CA*DP,CA*BU,CA*PV,CA*CDEVO,EL*CD,EL*CA,EL*EL,EL*DP,EL*BU,EL*PV,EL*CDEVO,DP*CD,DP*CA,DP*EL,DP*DP,DP*BU,DP*PV,DP*CDEVO,BU*CD,BU*CA,BU*EL,BU*DP,BU*BU,BU*PV,BU*CDEVO,PV*CD,PV*CA,PV*EL,PV*DP,PV*BU,PV*PV,PV*CDEVO,CDEVO*CD,CDEVO*CA,CDEVO*EL,CDEVO*DP,CDEVO*BU,CDEVO*PV,CDEVO*CDEVO
CD,4.186950667644113,1.5963148,0.00871886075942226,2.5482209,0.00027327775,-0.0010865367,-0.006885446,0.3426607,0.04725427,-0.0065683676,-5.738753,-0.021439789,0.0009852072,-3.9167593,0.008681074,-2.087744,0.0,0.0009581529,-0.00082687923,0.0,0.0,0.0,0.0,0.0,-0.0016535304,0.0,0.0064243134,0.0,0.0,0.0,0.0,-0.017878244,0.0,0.0,0.032748733,0.0,0.0,0.0,-0.46878803,0.0,0.0,0.0,-0.623476,0.0,0.0,0.644786,0.0,0.0,0.0,0.0,-0.03995083,-0.051558748,0.0,0.0,0.0,0.0,0.0,0.0017862526,0.020663155
CA,-0.8205788942148643,0.116540946,1.9069940852819674e-12,0.00027327775,0.013581793,-1.2362366e-07,-1.1052985e-06,3.845272e-05,5.2842065e-06,-7.4635096e-07,-0.000570767,3.1098793e-05,-2.2500511e-05,-0.00047121965,-2.587693e-05,-0.0002280255,0.0,-0.007897511,-0.07366419,0.0,0.0,0.0,0.0,0.0,-6.678957e-07,0.0,7.174616e-07,0.0,0.0,0.0,0.0,-2.3044006e-06,0.0,0.0,5.2660967e-06,0.0,0.0,0.0,-3.1933032e-05,0.0,0.0,0.0,-7.004743e-05,0.0,0.0,8.828331e-05,0.0,0.0,0.0,0.0,-4.680826e-06,-4.954699e-06,0.0,0.0,0.0,0.0,0.0,2.0611984e-07,2.3483751e-06
EL,0.15029745614525897,0.061737705,0.014914373396260954,-0.0010865367,-1.2362366e-07,0.003811544,3.4202862e-06,-0.00014837689,-2.0438374e-05,2.8565503e-06,0.002387978,1.0957883e-05,-7.234798e-05,0.0017376266,3.169011e-05,0.00089564885,0.0,-4.3391012e-07,3.7655494e-07,0.0,0.0,0.0,0.0,0.0,-0.0019104662,0.0,-0.022694703,0.0,0.0,0.0,0.0,8.13404e-06,0.0,0.0,-1.6279553e-05,0.0,0.0,0.0,0.00017570255,0.0,0.0,0.0,0.0002700827,0.0,0.0,-0.00030017857,0.0,0.0,0.0,0.0,1.756156e-05,2.1228789e-05,0.0,0.0,0.0,0.0,0.0,-7.810189e-07,-8.986947e-06
DP,0.10251023225689987,0.049713884,0.0392073445747982,-0.006885446,-1.1052985e-06,3.4202862e-06,0.0024714703,-0.0010422161,-0.00014248198,2.0612726e-05,0.012459517,0.0001517726,0.0015392523,0.05840881,0.001805056,0.0059229597,0.0,-3.899457e-06,3.4733848e-06,0.0,0.0,0.0,0.0,0.0,3.7928297e-05,0.0,-1.9303501e-05,0.0,0.0,0.0,0.0,-0.0018491925,0.0,0.0,-0.011559637,0.0,0.0,0.0,1.5752516e-05,0.0,0.0,0.0,0.0019019316,0.0,0.0,-0.0030472958,0.0,0.0,0.0,0.0,0.00013501418,0.00010014241,0.0,0.0,0.0,0.0,0.0,-5.820563e-06,-6.4876076e-05
BU,4.356214199391057,2.5614169,0.08899841549149484,0.3426607,3.845272e-05,-0.00014837689,-0.0010422161,6.5608563,0.0064252564,-0.00089683995,-0.75753367,-0.0033190928,-0.007033059,-0.5429109,0.107879184,-0.28204986,0.0,0.00013493285,-0.00011694838,0.0,0.0,0.0,0.0,0.0,-0.00037772473,0.0,0.00087293424,0.0,0.0,0.0,0.0,-0.002526701,0.0,0.0,0.004959802,0.0,0.0,0.0,-8.840242,0.0,0.0,0.0,-12.1539755,0.0,0.0,0.0927633,0.0,0.0,0.0,0.0,-0.0054999534,-0.0067525934,0.0,0.0,0.0,0.0,0.0,0.00024489564,0.002821468
PV,3.2054418066185355,0.3948683,4.749102828607195e-16,0.04725427,5.2842065e-06,-2.0438374e-05,-0.00014248198,0.0064252564,0.15592098,-0.02228501,-0.104621276,-0.0004529639,-0.000891742,-0.0746928,-0.0009181051,-0.06751057,0.0,1.8541426e-05,-1.6064996e-05,0.0,0.0,0.0,0.0,0.0,-5.0407074e-05,0.0,0.00012030285,0.0,0.0,0.0,0.0,-0.0003470948,0.0,0.0,0.0006779963,0.0,0.0,0.0,-0.007958016,0.0,0.0,0.0,-0.01169425,0.0,0.0,-0.41360384,0.0,0.0,0.0,0.0,-0.14284877,-0.12821236,0.0,0.0,0.0,0.0,0.0,0.0062232376,0.070129424
CDEVO,1.340671093253809,0.628107,0.032804910021441425,-0.0065683676,-7.4635096e-07,2.8565503e-06,2.0612726e-05,-0.00089683995,-0.02228501,0.39451844,0.01444406,6.599141e-05,0.00017371742,0.010495027,0.00018663732,0.010481976,0.0,-2.6195685e-06,2.2730478e-06,0.0,0.0,0.0,0.0,0.0,8.086718e-06,0.0,-1.6784945e-05,0.0,0.0,0.0,0.0,4.9098628e-05,0.0,0.0,-9.810333e-05,0.0,0.0,0.0,0.0010657476,0.0,0.0,0.0,0.0016324668,0.0,0.0,0.05946741,0.0,0.0,0.0,0.0,0.020693135,0.006708511,0.0,0.0,0.0,0.0,0.0,-0.10377388,-1.2610104
CD*CD,-9.230156976047663,3.6462338,0.01136010341650607,-5.738753,-0.000570767,0.002387978,0.012459517,-0.75753367,-0.104621276,0.01444406,13.295021,0.036857784,-0.18996088,8.395773,-0.24218778,4.6674275,0.0,-0.001998258,0.0017113115,0.0,0.0,0.0,0.0,0.0,-0.00035024312,0.0,-0.0142312525,0.0,0.0,0.0,0.0,0.037048183,0.0,0.0,-0.05918513,0.0,0.0,0.0,1.2080588,0.0,0.0,0.0,1.377661,0.0,0.0,-1.2931861,0.0,0.0,0.0,0.0,0.08667975,0.12088547,0.0,0.0,0.0,0.0,0.0,-0.003901857,-0.04543514
CD*CA,-0.1251558778665888,1.1613497,0.9141800358305365,-0.021439789,3.1098793e-05,1.0957883e-05,0.0001517726,-0.0033190928,-0.0004529639,6.599141e-05,0.036857784,1.348733,0.005773873,0.046043925,0.0067838477,0.01862199,0.0,0.000109785215,-9.838965e-05,0.0,0.0,0.0,0.0,0.0,0.0001393881,0.0,-6.134192e-05,0.0,0.0,0.0,0.0,0.0002494302,0.0,0.0,-0.00072417915,0.0,0.0,0.0,-0.0007470097,0.0,0.0,0.0,0.00606015,0.0,0.0,-0.010319249,0.0,0.0,0.0,0.0,0.0004375193,0.0002868273,0.0,0.0,0.0,0.0,0.0,-1.8752266e-05,-0.00020771747
CD*EL,0.1346915105481254,1.465226,0.9267573000849928,0.0009852072,-2.2500511e-05,-7.234798e-05,0.0015392523,-0.007033059,-0.000891742,0.00017371742,-0.18996088,0.005773873,2.1468875,0.21356593,0.112670265,0.016552089,0.0,-8.037671e-05,7.602949e-05,0.0,0.0,0.0,0.0,0.0,-0.0059007383,0.0,0.000256706,0.0,0.0,0.0,0.0,0.0016199076,0.0,0.0,-0.0073590637,0.0,0.0,0.0,-0.07726292,0.0,0.0,0.0,0.0131421015,0.0,0.0,-0.08016908,0.0,0.0,0.0,0.0,0.001650462,-0.0024348495,0.0,0.0,0.0,0.0,0.0,-6.048672e-05,-0.0005484239
CD*DP,-7.28779897365256,3.3917744,0.03166068444016555,-3.9167593,-0.00047121965,0.0017376266,0.05840881,-0.5429109,-0.0746928,0.010495027,8.395773,0.046043925,0.21356593,11.504134,0.24171366,3.2482786,0.0,-0.0016555313,0.0014438013,0.0,0.0,0.0,0.0,0.0,0.007208918,0.0,-0.010145709,0.0,0.0,0.0,0.0,-0.117799304,0.0,0.0,-0.27931347,0.0,0.0,0.0,0.5460557,0.0,0.0,0.0,0.9886158,0.0,0.0,-1.173124,0.0,0.0,0.0,0.0,0.06517824,0.07378193,0.0,0.0,0.0,0.0,0.0,-0.0028840816,-0.033020247
CD*BU,0.5050677087936474,1.3479589,0.7078904893606348,0.008681074,-2.587693e-05,3.169011e-05,0.001805056,0.107879184,-0.0009181051,0.00018663732,-0.24218778,0.0067838477,0.112670265,0.24171366,1.8169932,0.013473492,0.0,-9.24915e-05,8.7723325e-05,0.0,0.0,0.0,0.0,0.0,0.002439291,0.0,-0.00012016091,0.0,0.0,0.0,0.0,0.001868317,0.0,0.0,-0.008630345,0.0,0.0,0.0,0.25245702,0.0,0.0,0.0,-0.19752209,0.0,0.0,-0.09316911,0.0,0.0,0.0,0.0,0.0018393584,-0.0030394674,0.0,0.0,0.0,0.0,0.0,-6.646158e-05,-0.0005894301
CD*PV,-4.400206515046278,1.3950053,0.001609068674856338,-2.087744,-0.0002280255,0.00089564885,0.0059229597,-0.28204986,-0.06751057,0.010481976,4.6674275,0.01862199,0.016552089,3.2482786,0.013473492,1.9460398,0.0,-0.00079976325,0.000691408,0.0,0.0,0.0,0.0,0.0,0.0017314333,0.0,-0.0052852975,0.0,0.0,0.0,0.0,0.014944777,0.0,0.0,-0.028177869,0.0,0.0,0.0,0.3699924,0.0,0.0,0.0,0.51325685,0.0,0.0,-0.24858375,0.0,0.0,0.0,0.0,0.07685404,-0.0015146357,0.0,0.0,0.0,0.0,0.0,-0.0031427122,-0.033017527
CD*CDEVO,-0.1,1.0005,0.9203839980878821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0010002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA*CD,-0.022311588676879657,0.29047665,0.9387744839904685,0.0009581529,-0.007897511,-4.3391012e-07,-3.899457e-06,0.00013493285,1.8541426e-05,-2.6195685e-06,-0.001998258,0.000109785215,-8.037671e-05,-0.0016555313,-9.24915e-05,-0.00079976325,0.0,0.08437669,0.02626683,0.0,0.0,0.0,0.0,0.0,-2.3739935e-06,0.0,2.5174015e-06,0.0,0.0,0.0,0.0,-8.105024e-06,0.0,0.0,1.8579021e-05,0.0,0.0,0.0,-0.00011075595,0.0,0.0,0.0,-0.00024580566,0.0,0.0,0.00031079262,0.0,0.0,0.0,0.0,-1.64377e-05,-1.7334116e-05,0.0,0.0,0.0,0.0,0.0,7.2364185e-07,8.242437e-06
CA*CA,-0.661560792167688,0.83615595,0.4288313360496122,-0.00082687923,-0.07366419,3.7655494e-07,3.4733848e-06,-0.00011694838,-1.6064996e-05,2.2730478e-06,0.0017113115,-9.838965e-05,7.602949e-05,0.0014438013,8.7723325e-05,0.000691408,0.0,0.02626683,0.69915676,0.0,0.0,0.0,0.0,0.0,2.1933838e-06,0.0,-2.1809049e-06,0.0,0.0,0.0,0.0,7.1087143e-06,0.0,0.0,-1.6550763e-05,0.0,0.0,0.0,9.0173155e-05,0.0,0.0,0.0,0.00021306667,0.0,0.0,-0.00027385357,0.0,0.0,0.0,0.0,1.4302536e-05,1.4789827e-05,0.0,0.0,0.0,0.0,0.0,-6.2879343e-07,-7.152243e-06
CA*EL,-0.1,1.0005,0.9203839980878821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0010002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA*DP,-0.1,1.0005,0.9203839980878821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0010002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA*BU,-0.1,1.0005,0.9203839980878821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0010002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA*PV,-0.1,1.0005,0.9203839980878821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0010002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA*CDEVO,-0.1,1.0005,0.9203839980878821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0010002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EL*CD,0.13758486874474243,0.053374354,0.00994506167075839,-0.0016535304,-6.678957e-07,-0.0019104662,3.7928297e-05,-0.00037772473,-5.0407074e-05,8.086718e-06,-0.00035024312,0.0001393881,-0.0059007383,0.007208918,0.002439291,0.0017314333,0.0,-2.3739935e-06,2.1933838e-06,0.0,0.0,0.0,0.0,0.0,0.0028488217,0.0,0.009776507,0.0,0.0,0.0,0.0,4.6904483e-05,0.0,0.0,-0.00018122079,0.0,0.0,0.0,-0.0013686855,0.0,0.0,0.0,0.00069476286,0.0,0.0,-0.0021635287,0.0,0.0,0.0,0.0,6.207168e-05,-1.8952847e-05,0.0,0.0,0.0,0.0,0.0,-2.4863796e-06,-2.548176e-05
EL*CA,-0.1,1.0005,0.9203839980878821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0010002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
