Time,Sample,Replicate,CD,CA,EL,DP,BU,PV,CDEVO
0,CD_CA,1,0.00275,0.00275,0,0,0,0,0
0,CD_CA,2,0.00275,0.00275,0,0,0,0,0
0,CD_CA,3,0.00275,0.00275,0,0,0,0,0
0,CD_EL,1,0.00275,0,0.00275,0,0,0,0
0,CD_EL,2,0.00275,0,0.00275,0,0,0,0
0,CD_EL,3,0.00275,0,0.00275,0,0,0,0
0,CD_DP,1,0.00275,0,0,0.00275,0,0,0
0,CD_DP,2,0.00275,0,0,0.00275,0,0,0
0,CD_DP,3,0.00275,0,0,0.00275,0,0,0
0,CD_BU,1,0.00275,0,0,0,0.00275,0,0
0,CD_BU,2,0.00275,0,0,0,0.00275,0,0
0,CD_BU,3,0.00275,0,0,0,0.00275,0,0
0,CD_PV,1,0.00275,0,0,0,0,0.00275,0
0,CD_PV,2,0.00275,0,0,0,0,0.00275,0
0,CD_PV,3,0.00275,0,0,0,0,0.00275,0
1,CD_BU,1,0.45309606,0,0,0,0.68223725,0,0
1,CD_BU,2,0.422249857,0,0,0,0.637683458,0,0
1,CD_BU,3,0.466883541,0,0,0,0.714349756,0,0
7,CD_BU,1,0.593199673,0,0,0,0.227366984,0,0
7,CD_BU,2,0.504390748,0,0,0,0.32097593,0,0
7,CD_BU,3,0.562749988,0,0,0,0.308216687,0,0
14,CD_BU,1,0.632386015,0,0,0,0.137913971,0,0
14,CD_BU,2,0.604967658,0,0,0,0.158032368,0,0
14,CD_BU,3,0.526952576,0,0,0,0.25364745,0,0
21,CD_BU,1,0.618923398,0,0,0,0.224376587,0,0
21,CD_BU,2,0.632298911,0,0,0,0.250201082,0,0
21,CD_BU,3,0.568380836,0,0,0,0.352819141,0,0
28,CD_BU,1,0.618791778,0,0,0,0.21137489,0,0
28,CD_BU,2,0.669612249,0,0,0,0.205754409,0,0
28,CD_BU,3,0.600354892,0,0,0,0.258111763,0,0
35,CD_BU,1,0.537764739,0,0,0,0.199935269,0,0
35,CD_BU,2,0.59981236,0,0,0,0.319487682,0,0
35,CD_BU,3,0.501175048,0,0,0,0.234424969,0,0
49,CD_BU,1,0.564624762,0,0,0,0.266141931,0,0
49,CD_BU,2,0.589262892,0,0,0,0.467303779,0,0
49,CD_BU,3,0.513984507,0,0,0,0.369582185,0,0
64,CD_BU,1,0.577697805,0,0,0,0.258835508,0,0
64,CD_BU,2,0.689627621,0,0,0,0.369805665,0,0
64,CD_BU,3,0.506020434,0,0,0,0.425812898,0,0
1,CD_PV,1,0.238217989,0,0,0,0,1.031715364,0
1,CD_PV,2,0.172066025,0,0,0,0,1.099967319,0
1,CD_PV,3,0.183888551,0,0,0,0,1.107544793,0
7,CD_PV,1,0.672615819,0,0,0,0,0.563150892,0
7,CD_PV,2,0.58480475,0,0,0,0,0.650061931,0
7,CD_PV,3,0.581169171,0,0,0,0,0.695497532,0
14,CD_PV,1,0.327105539,0,0,0,0,0.886894403,0
14,CD_PV,2,0.548233775,0,0,0,0,0.624266195,0
14,CD_PV,3,0.469787864,0,0,0,0,0.70651214,0
21,CD_PV,1,0.306065707,0,0,0,0,1.031334253,0
21,CD_PV,2,0.25349598,0,0,0,0,1.067204069,0
21,CD_PV,3,0.572021804,0,0,0,0,0.720778146,0
28,CD_PV,1,0.349565903,0,0,0,0,0.856400719,0
28,CD_PV,2,0.339864686,0,0,0,0,0.872302011,0
28,CD_PV,3,0.476676465,0,0,0,0,0.805490165,0
35,CD_PV,1,0.355364154,0,0,0,0,0.847135794,0
35,CD_PV,2,0.593311653,0,0,0,0,0.455188371,0
35,CD_PV,3,0.540584913,0,0,0,0,0.685215087,0
49,CD_PV,1,0.392500201,0,0,0,0,0.822566426,0
49,CD_PV,2,0.381503197,0,0,0,0,0.837163431,0
49,CD_PV,3,0.447946916,0,0,0,0,0.795419758,0
64,CD_PV,1,0.190161195,0,0,0,0,1.07317219,0
64,CD_PV,2,0.681156881,0,0,0,0,0.505776463,0
64,CD_PV,3,0.124921927,0,0,0,0,1.166311439,0
1,CD_CA,1,0.683110383,0.232222958,0,0,0,0,0
1,CD_CA,2,0.784297407,0.26523597,0,0,0,0,0
1,CD_CA,3,0.585731746,0.225901612,0,0,0,0,0
7,CD_CA,1,0.486633821,0.483132858,0,0,0,0,0
7,CD_CA,2,0.768360143,0.171306524,0,0,0,0,0
7,CD_CA,3,0.757339629,0.195627004,0,0,0,0,0
14,CD_CA,2,0.514886874,0.041513142,0,0,0,0,0
14,CD_CA,3,0.442940172,0.059559841,0,0,0,0,0
21,CD_CA,1,0.296934046,0.748865925,0,0,0,0,0
21,CD_CA,2,0.416305421,0.455194594,0,0,0,0,0
21,CD_CA,3,0.589236038,0.078163964,0,0,0,0,0
28,CD_CA,1,0.354016813,0.568449853,0,0,0,0,0
28,CD_CA,3,0.464969446,0.367997209,0,0,0,0,0
35,CD_CA,1,0.349219139,0.56018087,0,0,0,0,0
35,CD_CA,3,0.357667132,0.452332893,0,0,0,0,0
49,CD_CA,1,0.366106633,0.554860007,0,0,0,0,0
49,CD_CA,3,0.407384899,0.453181792,0,0,0,0,0
64,CD_CA,1,0.322094406,0.713238934,0,0,0,0,0
64,CD_CA,3,0.60350585,0.627127473,0,0,0,0,0
1,CD_DP,1,0.471547059,0,0,0.223086256,0,0,0
1,CD_DP,2,0.482634847,0,0,0.222998505,0,0,0
1,CD_DP,3,0.49767301,0,0,0.199460303,0,0,0
7,CD_DP,1,0.284712198,0,0,0.308854461,0,0,0
7,CD_DP,2,0.323605819,0,0,0.272560854,0,0,0
7,CD_DP,3,0.284751984,0,0,0.274114698,0,0,0
14,CD_DP,1,0.116285717,0,0,0.423914293,0,0,0
14,CD_DP,2,0.130095345,0,0,0.538704666,0,0,0
21,CD_DP,2,0.244113609,0,0,0.492586389,0,0,0
21,CD_DP,3,0.178410874,0,0,0.517089142,0,0,0
28,CD_DP,2,0.145321383,0,0,0.404445307,0,0,0
28,CD_DP,3,0.121727057,0,0,0.480039619,0,0,0
35,CD_DP,2,0.127578126,0,0,0.397821879,0,0,0
35,CD_DP,3,0.110170661,0,0,0.453029358,0,0,0
49,CD_DP,2,0.686594818,0,0,0.297971826,0,0,0
49,CD_DP,3,0.34388611,0,0,0.217980546,0,0,0
64,CD_DP,2,0.368969562,0,0,0.128263774,0,0,0
64,CD_DP,3,0.331266806,0,0,0.27366652,0,0,0
1,CD_EL,1,0.609414079,0,0.267919274,0,0,0,0
1,CD_EL,2,0.585529189,0,0.245004147,0,0,0,0
1,CD_EL,3,0.583570142,0,0.275163164,0,0,0,0
7,CD_EL,1,0.472173769,0,0.29979287,0,0,0,0
7,CD_EL,2,0.371100541,0,0.183766133,0,0,0,0
7,CD_EL,3,0.481595799,0,0.253170913,0,0,0,0
14,CD_EL,1,0.809227844,0,0.083872135,0,0,0,0
14,CD_EL,2,0.956949356,0,0.17895062,0,0,0,0
14,CD_EL,3,0.738598,0,0.236702029,0,0,0,0
21,CD_EL,1,0.685163414,0,0.192936564,0,0,0,0
21,CD_EL,3,0.739273129,0,0.1506269,0,0,0,0
28,CD_EL,3,0.58910865,0,0.262558009,0,0,0,0
35,CD_EL,3,0.538992529,0,0.266707497,0,0,0,0
49,CD_EL,3,0.703632075,0,0.181434568,0,0,0,0
1,CD,1,0.35133339,0,0,0,0,0,0
1,CD,2,0.371633349,0,0,0,0,0,0
1,CD,3,0.328633348,0,0,0,0,0,0
7,CD,1,0.369566681,0,0,0,0,0,0
7,CD,2,0.386966678,0,0,0,0,0,0
7,CD,3,0.358166667,0,0,0,0,0,0
14,CD,1,0.410199985,0,0,0,0,0,0
14,CD,2,0.380500004,0,0,0,0,0,0
14,CD,3,0.425600007,0,0,0,0,0,0
21,CD,1,0.414900005,0,0,0,0,0,0
21,CD,2,0.450700015,0,0,0,0,0,0
21,CD,3,0.410600007,0,0,0,0,0,0
28,CD,1,0.383266658,0,0,0,0,0,0
28,CD,2,0.41776666,0,0,0,0,0,0
28,CD,3,0.438466638,0,0,0,0,0,0
35,CD,1,0.383299999,0,0,0,0,0,0
35,CD,2,0.3948,0,0,0,0,0,0
35,CD,3,0.439600013,0,0,0,0,0,0
49,CD,1,0.356866673,0,0,0,0,0,0
49,CD,2,0.385066673,0,0,0,0,0,0
49,CD,3,0.405166671,0,0,0,0,0,0
64,CD,1,0.23013333,0,0,0,0,0,0
64,CD,2,0.359833335,0,0,0,0,0,0
64,CD,3,0.286333327,0,0,0,0,0,0
1,BU,1,0,0,0,0,1.062533389,0,0
1,BU,2,0,0,0,0,1.070833335,0,0
1,BU,3,0,0,0,0,1.071433316,0,0
7,BU,1,0,0,0,0,0.497266653,0,0
7,BU,2,0,0,0,0,0.505866649,0,0
7,BU,3,0,0,0,0,0.460466685,0,0
14,BU,3,0,0,0,0,0.539100006,0,0
21,BU,1,0,0,0,0,0.754499972,0,0
21,BU,2,0,0,0,0,0.708199978,0,0
21,BU,3,0,0,0,0,0.659500003,0,0
28,BU,1,0,0,0,0,0.991166621,0,0
28,BU,2,0,0,0,0,0.780066639,0,0
28,BU,3,0,0,0,0,0.64136669,0,0
35,BU,1,0,0,0,0,1.009100042,0,0
35,BU,2,0,0,0,0,0.768300019,0,0
35,BU,3,0,0,0,0,0.651399992,0,0
49,BU,1,0,0,0,0,0.990166619,0,0
49,BU,2,0,0,0,0,0.801966682,0,0
49,BU,3,0,0,0,0,0.689866677,0,0
64,BU,1,0,0,0,0,1.084233349,0,0
64,BU,2,0,0,0,0,0.810933356,0,0
64,BU,3,0,0,0,0,0.659033363,0,0
1,PV,1,0,0,0,0,0,0.989233385,0
1,PV,2,0,0,0,0,0,0.958533297,0
1,PV,3,0,0,0,0,0,0.897633324,0
7,PV,1,0,0,0,0,0,1.138166609,0
7,PV,2,0,0,0,0,0,1.142766657,0
7,PV,3,0,0,0,0,0,1.132766667,0
14,PV,1,0,0,0,0,0,1.185000017,0
14,PV,2,0,0,0,0,0,1.194599941,0
14,PV,3,0,0,0,0,0,1.128599957,0
21,PV,1,0,0,0,0,0,1.288900018,0
21,PV,2,0,0,0,0,0,1.289399981,0
21,PV,3,0,0,0,0,0,1.280400038,0
28,PV,1,0,0,0,0,0,1.189666659,0
28,PV,2,0,0,0,0,0,1.141366631,0
28,PV,3,0,0,0,0,0,1.26546672,0
35,PV,1,0,0,0,0,0,1.183999978,0
35,PV,2,0,0,0,0,0,1.131499968,0
35,PV,3,0,0,0,0,0,1.174400054,0
49,PV,1,0,0,0,0,0,1.241766647,0
49,PV,2,0,0,0,0,0,1.254666641,0
49,PV,3,0,0,0,0,0,1.255466655,0
64,PV,1,0,0,0,0,0,1.242733305,0
64,PV,2,0,0,0,0,0,1.282733386,0
64,PV,3,0,0,0,0,0,1.253533309,0
1,CA,1,0,1.071033369,0,0,0,0,0
1,CA,2,0,1.073133359,0,0,0,0,0
1,CA,3,0,1.082533369,0,0,0,0,0
7,CA,1,0,0.964966717,0,0,0,0,0
7,CA,2,0,0.903066638,0,0,0,0,0
7,CA,3,0,0.879866662,0,0,0,0,0
14,CA,1,0,1.029399946,0,0,0,0,0
14,CA,2,0,1.019000009,0,0,0,0,0
14,CA,3,0,1.055700019,0,0,0,0,0
21,CA,1,0,1.170600057,0,0,0,0,0
21,CA,2,0,1.177800059,0,0,0,0,0
21,CA,3,0,1.333999991,0,0,0,0,0
28,CA,1,0,1.07676664,0,0,0,0,0
28,CA,2,0,1.103666693,0,0,0,0,0
28,CA,3,0,0.997666627,0,0,0,0,0
35,CA,1,0,1.033600055,0,0,0,0,0
35,CA,2,0,1.05379995,0,0,0,0,0
35,CA,3,0,1.002999984,0,0,0,0,0
49,CA,1,0,1.124166682,0,0,0,0,0
49,CA,2,0,1.111866668,0,0,0,0,0
49,CA,3,0,1.011866644,0,0,0,0,0
64,CA,1,0,1.105933373,0,0,0,0,0
64,CA,2,0,1.148633306,0,0,0,0,0
64,CA,3,0,1.141933363,0,0,0,0,0
1,DP,1,0,0,0,0.257633338,0,0,0
1,DP,2,0,0,0,0.258733342,0,0,0
1,DP,3,0,0,0,0.264633338,0,0,0
7,DP,1,0,0,0,0.142866674,0,0,0
7,DP,2,0,0,0,0.15236667,0,0,0
7,DP,3,0,0,0,0.147766667,0,0,0
14,DP,2,0,0,0,0.220300004,0,0,0
14,DP,3,0,0,0,0.203899994,0,0,0
21,DP,1,0,0,0,0.287299991,0,0,0
21,DP,2,0,0,0,0.305500001,0,0,0
21,DP,3,0,0,0,0.284000009,0,0,0
28,DP,1,0,0,0,0.189266652,0,0,0
28,DP,2,0,0,0,0.22146666,0,0,0
28,DP,3,0,0,0,0.194066674,0,0,0
35,DP,1,0,0,0,0.187600009,0,0,0
35,DP,2,0,0,0,0.226600014,0,0,0
35,DP,3,0,0,0,0.185899995,0,0,0
49,DP,1,0,0,0,0.208166674,0,0,0
49,DP,2,0,0,0,0.227366671,0,0,0
49,DP,3,0,0,0,0.217266664,0,0,0
64,DP,1,0,0,0,0.217833345,0,0,0
64,DP,2,0,0,0,0.237533336,0,0,0
64,DP,3,0,0,0,0.215233331,0,0,0
1,EL,1,0,0,0.347933332,0,0,0,0
1,EL,2,0,0,0.346433322,0,0,0,0
1,EL,3,0,0,0.362433324,0,0,0,0
7,EL,1,0,0,0.307666662,0,0,0,0
7,EL,2,0,0,0.298666659,0,0,0,0
7,EL,3,0,0,0.300666663,0,0,0,0
14,EL,1,0,0,0.320299998,0,0,0,0
14,EL,2,0,0,0.309600011,0,0,0,0
14,EL,3,0,0,0.295999989,0,0,0,0
21,EL,1,0,0,0.378100008,0,0,0,0
21,EL,2,0,0,0.391900003,0,0,0,0
21,EL,3,0,0,0.38350001,0,0,0,0
28,EL,1,0,0,0.31886667,0,0,0,0
28,EL,2,0,0,0.313766658,0,0,0,0
28,EL,3,0,0,0.314766675,0,0,0,0
35,EL,1,0,0,0.309999995,0,0,0,0
35,EL,2,0,0,0.343800001,0,0,0,0
35,EL,3,0,0,0.34080001,0,0,0,0
49,EL,1,0,0,0.290866658,0,0,0,0
49,EL,2,0,0,0.300166652,0,0,0,0
49,EL,3,0,0,0.375666663,0,0,0,0
64,EL,1,0,0,0.300633346,0,0,0,0
64,EL,2,0,0,0.292233323,0,0,0,0
64,EL,3,0,0,0.311533337,0,0,0,0
0,CD,1,0.0055,0,0,0,0,0,0
0,CD,2,0.0055,0,0,0,0,0,0
0,CD,3,0.0055,0,0,0,0,0,0
0,BU,1,0,0,0,0,0.0055,0,0
0,BU,2,0,0,0,0,0.0055,0,0
0,BU,3,0,0,0,0,0.0055,0,0
0,PV,1,0,0,0,0,0,0.0055,0
0,PV,2,0,0,0,0,0,0.0055,0
0,PV,3,0,0,0,0,0,0.0055,0
0,CA,1,0,0.0055,0,0,0,0,0
0,CA,2,0,0.0055,0,0,0,0,0
0,CA,3,0,0.0055,0,0,0,0,0
0,DP,1,0,0,0,0.0055,0,0,0
0,DP,2,0,0,0,0.0055,0,0,0
0,DP,3,0,0,0,0.0055,0,0,0
0,EL,1,0,0,0.0055,0,0,0,0
0,EL,2,0,0,0.0055,0,0,0,0
0,EL,3,0,0,0.0055,0,0,0,0
0,CDEVO_PV,1,0,0,0,0,0,0.00275,0.00275
0,CDEVO_PV,2,0,0,0,0,0,0.00275,0.00275
0,CDEVO_PV,3,0,0,0,0,0,0.00275,0.00275
1,CDEVO_PV,1,0,0,0,0,0,1.118480531,0.108952803
1,CDEVO_PV,2,0,0,0,0,0,1.114421164,0.106412147
1,CDEVO_PV,3,0,0,0,0,0,1.119653515,0.090979773
7,CDEVO_PV,1,0,0,0,0,0,0.802476345,0.480890278
7,CDEVO_PV,2,0,0,0,0,0,0.88175902,0.398107618
14,CDEVO_PV,1,0,0,0,0,0,0.73677836,0.482021663
14,CDEVO_PV,2,0,0,0,0,0,0.662198202,0.610301791
14,CDEVO_PV,3,0,0,0,0,0,0.775687572,0.346012432
21,CDEVO_PV,1,0,0,0,0,0,0.947018974,0.35048104
21,CDEVO_PV,2,0,0,0,0,0,0.959265366,0.367534623
21,CDEVO_PV,3,0,0,0,0,0,1.084693579,0.205006452
28,CDEVO_PV,1,0,0,0,0,0,1.013079975,0.23678666
28,CDEVO_PV,2,0,0,0,0,0,0.77492285,0.478843836
28,CDEVO_PV,3,0,0,0,0,0,0.82981129,0.382655337
35,CDEVO_PV,1,0,0,0,0,0,0.496711093,0.570088868
35,CDEVO_PV,2,0,0,0,0,0,0.914602217,0.321097757
35,CDEVO_PV,3,0,0,0,0,0,1.047716374,0.176983682
49,CDEVO_PV,1,0,0,0,0,0,0.733575626,0.427691014
49,CDEVO_PV,2,0,0,0,0,0,0.868739299,0.367227339
49,CDEVO_PV,3,0,0,0,0,0,0.742801441,0.47606522
64,CDEVO_PV,1,0,0,0,0,0,0.924987417,0.342145884
64,CDEVO_PV,2,0,0,0,0,0,0.951849956,0.317283319
64,CDEVO_PV,3,0,0,0,0,0,0.788741297,0.47059202
0,CDEVO,1,0,0,0,0,0,0,0.0055
0,CDEVO,2,0,0,0,0,0,0,0.0055
0,CDEVO,3,0,0,0,0,0,0,0.0055
1,CDEVO,1,0,0,0,0,0,0,0.35133339
1,CDEVO,2,0,0,0,0,0,0,0.371633349
1,CDEVO,3,0,0,0,0,0,0,0.328633348
7,CDEVO,1,0,0,0,0,0,0,0.369566681
7,CDEVO,2,0,0,0,0,0,0,0.386966678
7,CDEVO,3,0,0,0,0,0,0,0.358166667
14,CDEVO,1,0,0,0,0,0,0,0.410199985
14,CDEVO,2,0,0,0,0,0,0,0.380500004
14,CDEVO,3,0,0,0,0,0,0,0.425600007
21,CDEVO,1,0,0,0,0,0,0,0.414900005
21,CDEVO,2,0,0,0,0,0,0,0.450700015
21,CDEVO,3,0,0,0,0,0,0,0.410600007
28,CDEVO,1,0,0,0,0,0,0,0.383266658
28,CDEVO,2,0,0,0,0,0,0,0.41776666
28,CDEVO,3,0,0,0,0,0,0,0.438466638
35,CDEVO,1,0,0,0,0,0,0,0.383299999
35,CDEVO,2,0,0,0,0,0,0,0.3948
35,CDEVO,3,0,0,0,0,0,0,0.439600013
49,CDEVO,1,0,0,0,0,0,0,0.356866673
49,CDEVO,2,0,0,0,0,0,0,0.385066673
49,CDEVO,3,0,0,0,0,0,0,0.405166671
64,CDEVO,1,0,0,0,0,0,0,0.23013333
64,CDEVO,2,0,0,0,0,0,0,0.359833335
64,CDEVO,3,0,0,0,0,0,0,0.286333327
